feature,corr_home,corr_away,max_corr
away_off_pass_plays,0.30029456129319193,0.08708301549419986,0.30029456129319193
away_off_rush_plays,0.3459834187076645,0.37798050035742276,0.37798050035742276
away_off_pass_epa,0.14979589275898053,0.739697326563814,0.739697326563814
away_off_rush_epa,0.08789277047437803,0.3497443834221609,0.3497443834221609
away_off_pass_rate,0.3413887571619618,0.3179361575470107,0.3413887571619618
away_off_exp_pass_rate,0.041990639450655794,0.40103149364940777,0.40103149364940777
away_off_proe,0.3510427265643749,0.1969247955223145,0.3510427265643749
away_off_rroe,0.3510427265643749,0.1969247955223145,0.3510427265643749
away_off_cume_epa_per_play,0.03815757670986556,0.2215459485846972,0.2215459485846972
away_off_roll3_epa_per_play,0.02361355181192108,0.19219088789594846,0.19219088789594846
away_off_ewm_epa_per_play,0.033233881775665906,0.20814695325837718,0.20814695325837718
away_off_cume_pass_epa,0.03068364678843748,0.2205350503909007,0.2205350503909007
away_off_roll3_pass_epa,0.00805513559749344,0.17326249210901298,0.17326249210901298
away_off_ewm_pass_epa,0.01573824525296187,0.19801701039248745,0.19801701039248745
away_off_cume_rush_epa,0.034438439765236466,0.11458052946629044,0.11458052946629044
away_off_roll3_rush_epa,0.028033590968704853,0.11196499971538162,0.11196499971538162
away_off_ewm_rush_epa,0.04627481858359971,0.10868155766682071,0.10868155766682071
away_off_cume_pass_rate,0.050016620612902934,0.018485549024220192,0.050016620612902934
away_off_roll3_pass_rate,0.04432312228561445,0.0009090146451832327,0.04432312228561445
away_off_ewm_pass_rate,0.04858739082153199,0.001381538278226008,0.04858739082153199
away_off_cume_proe,0.04477643622967559,0.02939584978714652,0.04477643622967559
away_off_roll3_proe,0.04111604970376746,0.04055036825960833,0.04111604970376746
away_off_ewm_proe,0.044213397857504506,0.051723235702392685,0.051723235702392685
away_off_cume_rroe,0.04477643622967559,0.029395849787146544,0.04477643622967559
away_off_roll3_rroe,0.04111604970376746,0.0405503682596083,0.04111604970376746
away_off_ewm_rroe,0.04421339785750449,0.051723235702392706,0.051723235702392706
away_def_plays_def,0.25721776722976936,0.1466449315020569,0.25721776722976936
away_def_epa_per_play,0.8003369877482223,0.15355794277858767,0.8003369877482223
away_def_pass_plays_def,0.1393410330162103,0.3797348676175618,0.3797348676175618
away_def_rush_plays_def,0.37498735618365486,0.3594934172297208,0.37498735618365486
away_def_pass_epa,0.7144838005945229,0.19764266469962877,0.7144838005945229
away_def_rush_epa,0.3710415369171423,0.0534319939295998,0.3710415369171423
away_def_pass_rate,0.34151053035817697,0.39144625178955056,0.39144625178955056
away_def_cume_epa_per_play_def,0.09988865940319706,0.012295064498201225,0.09988865940319706
away_def_roll3_epa_per_play_def,0.06961844224803279,0.0027798854040828875,0.06961844224803279
away_def_ewm_epa_per_play_def,0.08060570460738546,0.01019717364806827,0.08060570460738546
away_def_cume_pass_epa_def,0.07775349347465743,0.020556797615205544,0.07775349347465743
away_def_roll3_pass_epa_def,0.05676260830908165,0.009021243269586443,0.05676260830908165
away_def_ewm_pass_epa_def,0.07301222410468074,0.013446138047855508,0.07301222410468074
away_def_cume_rush_epa_def,0.08537508921019094,0.028373111243645534,0.08537508921019094
away_def_roll3_rush_epa_def,0.04781170187803084,0.04845685295495928,0.04845685295495928
away_def_ewm_rush_epa_def,0.046649060253056436,0.041123266195224314,0.046649060253056436
away_def_cume_pass_rate_def,0.08250971457475663,0.11098894320643551,0.11098894320643551
away_def_roll3_pass_rate_def,0.05884335164102923,0.11622903895073146,0.11622903895073146
away_def_ewm_pass_rate_def,0.07758085552105722,0.10002376856593992,0.10002376856593992
